鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
東區,地+建+車,建功一路121～150號,26.595,它26.595,,,10501,土地1建物1車位1,A十層=77.75,12層,住宅大樓,見其他登記事項,鋼筋混凝土造,8704,129.822,3房,2廳,2衛,有隔間,有管理組織,8000000,203712,坡道平面,0,0,無
北區,地+建,市經國路二段1～30號,9.122,商9.122,,,10501,土地1建物1,A四層=45.78,10層,華廈,見其他登記事項,鋼筋混凝土造,9605,90.919,2房,2廳,1衛,有隔間,有管理組織,5230000,190162,,0,0,無
東區,地+建+車,東大路一段５２巷1～30號,62.5,住62.5,,,10412,土地1建物2車位2,A三層=76.74,5層,華廈,住家用，共同使用部份,鋼筋混凝土造,8008,218.107,4房,2廳,2衛,有隔間,有管理組織,8700000,131863,坡道平面,0,0,無
香山區,地+建+車,經國路三段９２巷１６弄1～30號,17.214,住17.214,,,10412,土地1建物1車位1,A二層=70.67,15層,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10204,147.257,3房,2廳,2衛,有隔間,有管理組織,8320000,186777,坡道平面,29.66,0,無
北區,地+建,武陵路１７５巷1～30號,12.93,住12.93,,,10501,土地2建物1,A九層=75.13,21層,住宅大樓,住家用，見其他登記事項,鋼筋混凝土造,8706,116.216,3房,2廳,2衛,有隔間,有管理組織,5400000,153604,,0,0,無
北區,地+建,西濱路一段181～210號,87.871,住87.871,,,10412,土地3建物1,A一層=43.39，二層=44.77，三層=44.77，四層=41.09，見其他登記事項=22.73,4層,透天厝,見其他登記事項,鋼筋混凝土造,10310,196.75,3房,2廳,4衛,有隔間,有管理組織,7200000,120974,,0,0,土地及建物分次登記案件。
北區,地+建+車,北門街181～210號,17.098,商17.098,,,10502,土地1建物1車位1,A十二層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.89,3房,2廳,2衛,有隔間,有管理組織,13500000,258130,坡道平面,36.37,0,無
北區,地+建,文雅街８０巷８弄1～30號,178,住178,,,10501,土地2建物1,A一層=50.53，二層=50.53,2層,透天厝,住家用,加強磚造,7210,101.06,4房,3廳,3衛,有隔間,無管理組織,12800000,418702,,0,0,無
北區,地+建,西大路４６９巷1～30號,56,住56,,,10502,土地1建物1,A一層=45.00，騎樓=10.00,1層,透天厝,住家用,磚造,,55,,,,無隔間,無管理組織,3200000,192337,,0,0,為尊重權利人隱私權主張地政士無法入屋現場勘查由權利人提供建物現況格局實際資訊供地政士申報登錄
北區,地+建,牛埔路１４巷６弄1～30號,23.082,住23.082,,,10501,土地1建物1,A二層=78.52,8層,華廈,住家用，共同使用部份,鋼筋混凝土造,8306,125.519,3房,2廳,2衛,有隔間,有管理組織,5650000,148804,,0,0,無
北區,地+建,竹光路９５巷２１弄1～30號,75.143,它75.143,,,10412,土地2建物1,A一層=42.98，二層=38.48，三層=39.45，四層=39.45，見其他登記事項=25.67,4層,透天厝,見其他登記事項,鋼筋混凝土造,10408,209.6,4房,2廳,4衛,有隔間,有管理組織,17400000,274431,,0,0,無
北區,地+建,竹光路９５巷２１弄1～30號,80.143,它80.143,,,10412,土地2建物1,A一層=52.83，二層=45.82，三層=54.41，四層=54.41，五層=32.24,5層,透天厝,見其他登記事項,鋼筋混凝土造,10408,261.55,6房,2廳,4衛,有隔間,有管理組織,20450000,258472,,0,0,無
東區,地+建+車,龍山東路211～240號,44.186,住44.185,,,10501,土地3建物1車位2,A二十一層=185.39,23層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10211,385.734,4房,2廳,3衛,有隔間,有管理組織,28000000,239963,坡道平面,56.2,0,無
東區,地+建+車,東南街５３巷31～60號,39.095,住39.096,,,10412,土地5建物1車位1,A三層=73.70,5層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,118.423,3房,2廳,2衛,有隔間,無管理組織,9300000,259609,坡道平面,0,0,無
東區,地+建+車,東南街５３巷31～60號,31.781,住31.78,,,10412,土地5建物1車位1,A三層=52.94,5層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,83.886,2房,1廳,1衛,有隔間,無管理組織,6980000,275069,坡道機械,0,0,無
香山區,地+建,崧嶺路120巷31～60號,79.36,住79.36,,,10411,土地2建物1,A一層=45.98，二層=45.97，三層=45.97，四層=45.97，見其他登記事項=25.00,4層,透天厝,見其他登記事項,鋼筋混凝土造,10402,229.67,4房,3廳,4衛,有隔間,無管理組織,15500000,223101,,0,0,土地及建物分次登記案件。後案土地登記收件字號：006110號
東區,地+建+車,太原路121～150號,43.34,,特定農業區,甲建43.34,10501,土地1建物1車位1,A三層=98.60,12層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10312,190.954,4房,2廳,2衛,有隔間,有管理組織,11480000,198741,坡道平面,36,0,地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由權利人自行提供屬實。
東區,地+建,明湖路６４８巷１８弄1～30號,329.72,,山坡地保育區,丙建329.72,10501,土地1建物1,A一層=98.13，二層=110.97，三層=84.25，四層=62.37,4層,透天厝,住家用,鋼筋混凝土造,8208,403.93,5房,2廳,5衛,有隔間,有管理組織,19200000,157134,,0,0,無
東區,土地,南門段一小段91～120地號,53,商53,,,10501,土地1,,,土地,,,,0,,,,有隔間,無管理組織,7030000,438484,,0,0,含105年收件第27170號買賣案件
香山區,土地,見樂段241～270地號,610.05,,山坡地保育區,丙建479.52農牧130.53,10502,土地2,,,土地,,,,0,,,,有隔間,無管理組織,8550000,46331,,0,0,無
香山區,地+建,東華路1～30號,12.104,住12.104,,,10412,土地1建物1,A七層=78.79,12層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,,107.141,3房,2廳,2衛,有隔間,有管理組織,6000000,185127,,0,0,無
東區,地+建+車,明湖路721～750號,23.919,它23.919,,,10412,土地1建物1車位1,A地下四層=52.29,4層,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,118.884,1房,1廳,1衛,有隔間,有管理組織,3250000,90372,坡道平面,34.05,0,無
東區,地+建,興中街1～30號,25.867,住25.867,,,10501,土地1建物1,A三層=78.17,0層,公寓,住家用，見使用執照,鋼筋混凝土造,7012,82.848,3房,2廳,2衛,有隔間,無管理組織,2570000,102548,,0,0,無
東區,地+建+車,經國路一段３９８巷１弄1～30號,12.882,它0.043,,,10412,土地4建物1車位1,A四層=46.27,8層,華廈,住家用，共同使用部份,鋼筋混凝土造,,86.853,2房,1廳,1衛,有隔間,有管理組織,2800000,106573,升降機械,0,0,無
香山區,土地,香村段421～450地號,3192.57,,山坡地保育區,農牧3192.57,10501,土地2,,,土地,,,,0,,,,有隔間,無管理組織,10140401,10500,,0,0,無
香山區,土地,香村段391～420地號,5593.16,,山坡地保育區,農牧5593.16,10501,土地1,,,土地,,,,0,,,,有隔間,無管理組織,50757900,30000,,0,0,無
香山區,地+建+車,大庄路２２８巷31～60號,21.42,住21.42,,,10501,土地1建物1車位1,A四層=70.11,7層,華廈,住家用，共同使用部份,鋼筋混凝土造,8401,111.724,3房,2廳,2衛,有隔間,有管理組織,3700000,109478,坡道平面,0,0,無
香山區,地+建+車,牛埔南路１４２巷３３弄31～60號,27.274,住27.274,,,10412,土地1建物1車位1,A五層=76.57,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10108,147.401,3房,2廳,2衛,有隔間,有管理組織,7900000,177174,坡道平面,0,0,無
東區,地+建+車,關新路１９巷61～90號,17.86,它17.839住0.015,,,10412,土地3建物1車位1,A十五層=98.17,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9806,179.672,4房,2廳,2衛,有隔間,有管理組織,13000000,239187,坡道平面,0,0,另有公設權狀。現況作住家使用。
北區,地+建,西濱路一段189巷17弄31～60號,75.01,住75.01,,,10412,土地1建物1,A一層=43.43，二層=38.67，三層=43.43，四層=43.43,4層,透天厝,見其他登記事項,鋼筋混凝土造,8508,185.21,6房,3廳,3衛,有隔間,無管理組織,7900000,141006,,0,0,無
北區,地+建,東大路2段375巷1～30號,69,住69,,,10412,土地1建物1,A一層=38.54，二層=38.54,2層,透天厝,住家用,加強磚造,7207,77.08,3房,2廳,2衛,有隔間,無管理組織,8000000,343102,,0,0,無
東區,地+建,光復路一段335巷17弄31～60號,61.14,住61.14,,,10412,土地1建物1,A一層=40.25，二層=40.22，三層=40.22，四層=40.25，見其他登記事項=25.92,4層,透天厝,見其他登記事項,鋼筋混凝土造,10405,206.75,4房,2廳,4衛,有隔間,無管理組織,15900000,254230,,0,0,無
東區,地+建,光復路一段335巷17弄31～60號,61.14,住61.14,,,10412,土地1建物1,A一層=40.25，二層=40.22，三層=40.22，四層=40.25，見其他登記事項=25.92,4層,透天厝,見其他登記事項,鋼筋混凝土造,10405,206.75,4房,2廳,4衛,有隔間,無管理組織,15900000,254230,,0,0,無
東區,地+建,光華街27巷1～30號,24.15,住24.15,,,10412,土地1建物1,A一層=67.75,3層,公寓,住家用，共同使用部份,鋼筋混凝土造,,73.32,3房,2廳,2衛,有隔間,無管理組織,5500000,247978,,0,0,無
香山區,土地,五福段1081～1110地號,964.139,它400.49,山坡地保育區,農牧538.06,10501,土地6,,,土地,,,,0,,,,有隔間,無管理組織,4200000,14401,,0,0,無
香山區,土地,五福段1171～1200地號,179.235,它179.235,,,10501,土地3,,,土地,,,,0,,,,有隔間,無管理組織,800000,14755,,0,0,無
香山區,土地,五福段1171～1200地號,446.2,它446.2,,,10501,土地4,,,土地,,,,0,,,,有隔間,無管理組織,1800000,13336,,0,0,無
香山區,土地,五福段1171～1200地號,158.59,它158.59,,,10501,土地3,,,土地,,,,0,,,,有隔間,無管理組織,2800000,58366,,0,0,無
香山區,土地,五福段1171～1200地號,679.95,它679.95,,,10501,土地4,,,土地,,,,0,,,,有隔間,無管理組織,5800000,28198,,0,0,無
香山區,土地,五福段1201～1230地號,792.625,它792.625,,,10501,土地11,,,土地,,,,0,,,,有隔間,無管理組織,3500000,14597,,0,0,無
東區,地+建,明湖路650巷1～30號,18.112,,鄉村區,乙建18.112,10501,土地2建物1,A一層=59.86,5層,公寓,住家用,鋼筋混凝土造,,67.68,3房,2廳,2衛,有隔間,無管理組織,2900000,141649,,0,0,無
北區,地+建,港北六街1～30號,76.69,住76.69,,,10502,土地1建物1,A一層=44.27，二層=44.70，三層=43.97，四層=43.97，見其他登記事項=25.26,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,229.64,4房,2廳,2衛,有隔間,無管理組織,15000000,215933,,0,0,與105年空白字026110號併件
北區,地+建,中華路三段１２１巷３２弄61～90號,70.445,住70.445,,,10412,土地2建物1,A一層=40.86，二層=40.86，三層=40.86，地下一層=45.10,3層,透天厝,見其他登記事項，停車空間,鋼筋混凝土造,8705,224.79,4房,2廳,3衛,有隔間,有管理組織,8500000,125002,,0,0,無
香山區,地+建,牛埔東路31～60號,87,住87,,,10412,土地1建物1,A一層=51.36，二層=69.12，三層=69.12，四層=69.12，騎樓=17.76,4層,店面,住商用,鋼筋混凝土造,7005,276.48,6房,3廳,4衛,有隔間,無管理組織,15000000,179350,,0,0,無
東區,地+建,東大路二段1～30號,13.888,住13.888,,,10412,土地1建物1,A十層=128.25,12層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8201,183.277,2房,2廳,2衛,有隔間,有管理組織,8880000,160169,,0,0,無
東區,地+建+車,鐵道路一段２８巷91～120號,41.134,它41.134,,,10412,土地1建物1車位2,A六層=158.94,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10209,289.744,4房,2廳,3衛,有隔間,有管理組織,20800000,237314,坡道平面,0,0,無
,土地,成德段301～330地號,7.25,住7.25,,,10502,土地1,,,土地,,,,0,,,,有隔間,無管理組織,275123,125448,,0,0,向政府機關承購之案件。
香山區,土地,香雅段1171～1200地號,19.42,,特定農業區,農牧19.42,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,135000,22980,,0,0,無
東區,地+建+車,太原路121～150號,34.672,,特定農業區,甲建34.672,10501,土地1建物1車位1,A十層=79.36,12層,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10312,161.807,3房,2廳,2衛,有隔間,有管理組織,10900000,222692,坡道平面,0,0,無
北區,地+建,中正路91～120號,6.8,商6.799,,,10502,土地2建物1,A十層=46.92,11層,套房,商業用，共同使用部份,鋼筋混凝土造,,61.841,1房,1廳,1衛,有隔間,有管理組織,2600000,138986,,0,0,無
東區,地+建+車,光復路一段８９巷151～180號,41.601,住41.602,,,10502,土地5建物1車位1,A十層=198.25,16層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8705,291.646,4房,2廳,3衛,有隔間,有管理組織,16250000,184192,坡道平面,0,0,為尊重權利人隱私權主張地政士無法入屋現場勘查由權利人提供建物現況格局實際資訊供地政士申報登錄
北區,地+建+車,金竹路121～150號,43.054,住43.054,,,10412,土地1建物1車位3,A一層=63.38，二層=60.16，見其他登記事項=20.88,14層,店面,見其他登記事項，共同使用部份,鋼筋混凝土造,10301,284.36,,,,無隔間,有管理組織,26800000,311559,坡道平面,0,0,無
東區,地+建+車,龍山東路271～300號,50.695,住50.695,,,10502,土地1建物1車位2,A二層=172.49,23層,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10107,354.924,4房,2廳,3衛,有隔間,有管理組織,21000000,210403,坡道平面,67.4,0,無
北區,地+建+車,金竹路121～150號,47.758,住47.758,,,10412,土地1建物1車位3,A一層=62.62，二層=65.46，見其他登記事項=20.44,14層,店面,見其他登記事項，共同使用部份,鋼筋混凝土造,10301,305.805,,,,無隔間,有管理組織,28340000,306358,坡道平面,0,0,無
東區,地+建+車,龍山東路271～300號,39.566,住39.566,,,10501,土地1建物1車位2,A十一層=136.16,25層,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10107,287.084,3房,2廳,2衛,有隔間,有管理組織,17000000,210979,坡道平面,63.02,0,無
北區,地+建+車,武陵路179巷1～30號,16.436,它16.436,,,10501,土地2建物1車位1,A十五層=75.13,20層,住宅大樓,見其他登記事項,鋼筋混凝土造,8905,152.412,3房,2廳,2衛,有隔間,有管理組織,7280000,157902,坡道平面,0,0,無
東區,地+建,光復路一段459巷1～30號,27.45,它27.45,,,10502,土地2建物1,A五層=50.62,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10404,109.363,2房,2廳,2衛,有隔間,有管理組織,8500000,256936,,0,0,與收件號第30390號連件
香山區,地+建,港南一街１２０巷1～30號,81.363,,鄉村區,乙建81.363,10501,土地3建物1,A一層=44.61，二層=44.61，三層=44.61，四層=26.79,4層,透天厝,見其他登記事項,鋼筋混凝土造,10401,166.43,5房,2廳,4衛,有隔間,無管理組織,8450000,167842,,0,0,無
東區,地+建+車,埔頂二路121～150號,30.392,住30.392,,,10501,土地1建物1車位2,A五層=132.70,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10011,278.354,4房,2廳,2衛,有隔間,有管理組織,18880000,224222,坡道平面,60.91,0,無
北區,地+建,武陵路２５０巷31～60號,22.589,住22.589,,,10412,土地1建物1,A五層=79.67,7層,華廈,住家用，共同使用部份,鋼筋混凝土造,8305,110.359,3房,2廳,2衛,有隔間,有管理組織,5650000,169245,,0,0,無
北區,地+建,武陵路１７５巷1～30號,17.283,它17.283,,,10501,土地1建物1,A十七層=75.44,21層,住宅大樓,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8706,115.776,3房,2廳,2衛,有隔間,有管理組織,6000000,171320,,0,0,無
北區,地+建,和平路151～180號,86,,鄉村區,乙建86,10501,土地1建物1,A一層=52.33，二層=69.16，三層=69.16，四層=34.13，騎樓=16.84,4層,透天厝,住家用,加強磚造,6310,241.62,5房,3廳,2衛,有隔間,無管理組織,13800000,188808,,0,0,無
香山區,土地,五福段1171～1200地號,324.225,工324.225,,,10501,土地6,,,土地,,,,0,,,,有隔間,無管理組織,4477992,45657,,0,0,"土地及建物分次登記案件。與土地登記收件字號：18750,18760號連件"
香山區,土地,五福段1171～1200地號,354.814,工354.814,,,10501,土地5,,,土地,,,,0,,,,有隔間,無管理組織,5193842,48391,,0,0,土地及建物分次登記案件。與土地登記收件字號：18750~18770號連件
香山區,土地,五福段811～840地號,133.942,工132.27,特定農業區,水利1.671,10501,土地3,,,土地,,,,0,,,,有隔間,無管理組織,1928451,47596,,0,0,土地及建物分次登記案件。與土地登記收件字號：18850號連件
北區,地+建+車,延平路一段361～390號,20.497,,鄉村區,乙建20.497,10502,土地1建物1車位1,A一層=43.76，見其他登記事項=14.44,11層,店面,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,126.022,,,,無隔間,有管理組織,16000000,506255,坡道平面,29.38,1200000,土地及建物分次登記案件，前案土地登記收件字號第027880號。
房地總價已含收件字第027880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建,文雅里竹光路1～30號,4.198,住4.198,,,10502,土地1建物1,A十一層=23.31,14層,套房,住家用,鋼筋混凝土造,8602,29,1房,1廳,1衛,有隔間,有管理組織,1700000,193787,,0,0,無
東區,地+建,金山七街121～150號,99.15,住99.15,,,10501,土地1建物1,A見其他登記事項=15.86，一層=51.83，二層=51.83，三層=51.83，四層=51.83，五層=45.04,5層,透天厝,見其他登記事項,鋼筋混凝土造,10010,274.94,29房,,29衛,有隔間,無管理組織,30500000,366722,,0,0,含增建或未登記建物。
北區,地+建,竹光路1～30號,4.354,住4.354,,,10502,土地1建物1,A九層=22.93,14層,套房,共同使用部份，住家用,鋼筋混凝土造,8602,41.14,1房,1廳,1衛,有隔間,有管理組織,1500000,120532,,0,0,無
東區,地+建+車,慈濟路211～240號,22.993,住22.993,,,10501,土地1建物1車位1,A十四層=102.59,23層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10401,205.462,3房,2廳,2衛,有隔間,有管理組織,15500000,249388,坡道平面,0,0,無
東區,地+建+車,中華路一段301～330號,29.243,它29.243,,,10501,土地1建物1車位1,A六層=79.91,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10309,158.42,3房,2廳,2衛,有隔間,有管理組織,9900000,206585,坡道平面,0,0,無
北區,地+建+車,延平路一段361～390號,28.03,,鄉村區,乙建28.03,10501,土地3建物1車位1,A十層=65.68,11層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,150.028,3房,2廳,2衛,有隔間,有管理組織,8600000,189497,坡道平面,29.38,0,無
東區,地+建,明湖路２８巷1～30號,94,住94,,,10502,土地1建物1,A一層=55.25，二層=55.25，夾層=12.75,2層,透天厝,住家用,鋼筋混凝土造,7801,135.55,5房,1廳,2衛,有隔間,無管理組織,12000000,292655,,0,0,無
北區,地+建,金竹路118巷28弄1～30號,28.9,住28.9,,,10501,土地1建物1,A三層=89.08,5層,華廈,住家用,鋼筋混凝土造,7906,118.001,3房,2廳,2衛,有隔間,無管理組織,5100000,142876,,0,0,無
北區,地+建,湳中街５４巷1～30號,12.507,住12.507,,,10502,土地1建物1,A四層=39.20,5層,套房,住家用，共同使用部份,鋼筋混凝土造,8003,49.577,1房,1廳,1衛,有隔間,有管理組織,1500000,100020,,0,0,無
東區,土地,隆恩段751～780地號,1515.84,,特定農業區,農牧1515.84,10501,土地1,,,土地,,,,0,,,,有隔間,無管理組織,42190000,92009,,0,0,無
東區,地+建,光華南街１０巷1～30號,28.3,住28.3,,,10412,土地2建物1,A四層=75.46,5層,公寓,住家用,加強磚造,,75.46,3房,2廳,1衛,有隔間,無管理組織,3200000,140187,,0,0,無
東區,地+建,勝利路121～150號,7.378,商7.379,,,10502,土地3建物1,A五層=30.22,6層,套房,住家用，共同使用部份,鋼筋混凝土造,8003,46.527,1房,1廳,1衛,有隔間,有管理組織,1500000,106576,,0,0,無
北區,地+建,牛埔路７８巷1～30號,70.855,住70.855,,,10501,土地1建物1,A一層=41.74，二層=41.74，三層=41.74，四層=41.74,4層,透天厝,見其他登記事項,鋼筋混凝土造,8610,197.03,5房,2廳,3衛,有隔間,無管理組織,8500000,142614,,0,0,無
東區,地+建,中華路二段631～660號,187,商187,,,10412,土地1建物2,A一層=58.60，二層=76.44，三層=58.21，騎樓=17.34,3層,店面,住家用,加強磚造,5502,428.61,11房,2廳,13衛,有隔間,無管理組織,40000000,308512,,0,0,無
香山區,地+建,中華路６段７９９巷１０弄1～30號,120.86,,山坡地保育區,丙建120.86,10502,土地1建物1,A一層=59.97，二層=18.20，三層=58.15，四層=43.73,4層,透天厝,住家用,鋼筋混凝土造,8211,207.34,4房,2廳,3衛,有隔間,無管理組織,6260000,99808,,0,0,無
東區,地+建+車,埔頂一路181～210號,21.187,住21.187,,,10502,土地1建物1車位1,A十七層=92.05,17層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10306,191.431,3房,2廳,2衛,有隔間,有管理組織,15150000,261622,坡道平面,31.74,0,無
香山區,地+建,中華路四段４１１巷３弄1～30號,90.604,,山坡地保育區,丙建90.604,10501,土地2建物1,A二層=39.82，三層=38.78，四層=33.03，一層=39.82,4層,透天厝,見其他登記事項,鋼筋混凝土造,9610,186.43,5房,3廳,3衛,有隔間,無管理組織,10000000,177320,,0,0,無
北區,地+建+車,江山街1～30號,20.745,商20.745,,,10501,土地1建物1車位1,A四層=80.94,10層,辦公商業大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10303,179.642,3房,2廳,2衛,有隔間,有管理組織,14000000,257629,坡道平面,39.66,0,含增建或未登記建物。
北區,土地,西濱段31～60地號,489.72,它489.72,,,10502,土地2,,,土地,,,,0,,,,有隔間,無管理組織,3690000,24909,,0,0,無
香山區,地+建,牛埔路121～150號,11.657,住11.657,,,10501,土地1建物1,A十二層=47.10,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9701,102.884,1房,1廳,1衛,有隔間,有管理組織,4400000,141377,,0,0,無
北區,地+建+車,延平路一段361～390號,25.987,,鄉村區,乙建25.987,10502,土地1建物1車位1,A十層=67.18,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,152.696,3房,1廳,2衛,有隔間,有管理組織,8800000,203736,坡道平面,29.38,1200000,不動產之共有人數為２人。
土地及建物分次登記案件，前案土地登記收件字號第030750號。,,,,,,,,,,,,,,,,,,,,,,,,,,
房地總價已含收件字第030750號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.255,,鄉村區,乙建25.255,10502,土地1建物1車位1,A六層=65.26,11層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,149.437,3房,1廳,2衛,有隔間,有管理組織,8000000,189992,坡道平面,29.38,1100000,土地及建物分次登記案件，前案土地登記收件字號第030750號。
房地總價已含收件字第030750號。,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,地+建+車,中華路三段61～90號,10.385,商10.385,,,10412,土地3建物1車位1,A四層=78.49,12層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8208,114.763,3房,2廳,2衛,有隔間,有管理組織,5000000,144027,升降機械,0,0,無
香山區,地+建+車,中山路６４０巷481～510號,21.924,住21.924,,,10501,土地1建物1車位1,A四層=72.69,14層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10110,157.057,3房,2廳,1衛,有隔間,有管理組織,7360000,154915,坡道平面,34.02,0,無
北區,地+建+車,北門街181～210號,16.019,商16.019,,,10502,土地1建物1車位1,A三層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,152.97,3房,2廳,2衛,有隔間,有管理組織,12500000,270133,坡道機械,16.53,0,無
北區,地+建+車,聖軍路121～150號,18.212,商18.212,,,10501,土地1建物1車位1,A十層=66.16,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10409,146.433,3房,1廳,2衛,有隔間,有管理組織,6530000,159086,坡道平面,31.52,1000000,土地及建物分次登記案件，前案土地登記收件字號第031400號。
房地總價已含收件字第031400號。,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,地+建,東光路42巷1～30號,50.8,住2.4它48.4,,,10501,土地2建物1,A五層=151.19,5層,公寓,住家用，共同使用部份,鋼筋混凝土造,,209.778,5房,2廳,4衛,有隔間,有管理組織,7650000,120552,,0,0,無
香山區,地+建,香村路３００巷２５弄61～90號,101.042,,山坡地保育區,丙建101.042,10412,土地2建物1,A一層=39.35，二層=39.09，三層=39.09，四層=23.22,4層,透天厝,見其他登記事項,鋼筋混凝土造,9505,147.52,4房,2廳,3衛,有隔間,有管理組織,6800000,152382,,0,0,無
北區,地+建,光華二街５６巷１１弄1～30號,95,住95,,,10501,土地1建物1,A一層=55.80，二層=55.80,2層,透天厝,住家用,加強磚造,6705,111.6,4房,3廳,2衛,有隔間,無管理組織,10800000,319915,,0,0,無
東區,地+建+車,光復路一段４７６巷1～30號,25.755,住25.687,,,10412,土地4建物2車位1,A七層=63.76,13層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8409,174.45,4房,2廳,2衛,有隔間,有管理組織,10500000,198973,坡道機械,0,0,現況二戶打通
東區,地+建+車,民權路1～30號,23.577,商17.478住6.099,,,10501,土地2建物1車位2,A九層=138.48,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10004,262.335,3房,2廳,2衛,有隔間,有管理組織,25680000,323604,坡道平面,37.36,0,另有公設權狀
東區,地+建+車,光復路一段271～300號,9.558,住9.558,,,10501,土地1建物1車位1,A十七層=52.65,18層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,8604,96.803,4房,2廳,2衛,有隔間,有管理組織,6670000,227777,坡道機械,0,0,無
東區,地+建,光復路二段165巷1～30號,33.6,它33.6,,,10412,土地1建物1,A一層=98.25,5層,公寓,住家用，共同使用部份,鋼筋混凝土造,7512,128.077,3房,,,有隔間,無管理組織,5000000,129055,,0,0,無
北區,地+建,光華二街１０８巷1～30號,16.6,住16.6,,,10501,土地2建物1,A五層=39.76,5層,華廈,住家用，共同使用部份,鋼筋混凝土造,,59.24,2房,1廳,1衛,有隔間,有管理組織,2650000,147879,,0,0,無
北區,地+建+車,中華路三段121～150號,13.099,住2.964它10.135,,,10501,土地2建物1車位1,A十層=81.76,12層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8212,146.381,3房,2廳,2衛,有隔間,有管理組織,6350000,143404,坡道平面,0,0,無
香山區,地+建,至善街33巷31～60號,14.698,,山坡地保育區,丙建14.698,10501,土地2建物1,A四層=22.32,4層,套房,住家用，共同使用部份,鋼筋混凝土造,8703,31.466,1房,1廳,1衛,有隔間,有管理組織,580000,60935,,0,0,無
東區,地+建+車,東光路31～60號,29.1,商29.1,,,10501,土地1建物1車位1,A八層=106.53,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10106,230.323,3房,2廳,2衛,有隔間,有管理組織,15500000,222469,坡道平面,0,0,另有一公設權狀
東區,地+建,明湖路751～780號,14.102,它14.102,,,10501,土地1建物1,A一層=30.98,4層,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,49.842,1房,1廳,1衛,有隔間,有管理組織,2260000,149896,,0,0,無
北區,地+建+車,竹光路331～360號,11.184,住11.184,,,10412,土地1建物1車位1,A十五層=68.89,20層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8407,152.466,3房,2廳,2衛,有隔間,有管理組織,5750000,124672,坡道平面,0,0,無
