鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,地+建+車,竹光路９５巷２１弄1～30號,39.96,它39.96,,,10411,土地2建物1車位1,A七層=99.66,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,194.377,4房,2廳,2衛,有隔間,有管理組織,12800000,217690,坡道平面,0,1300000,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
北區,地+建+車,竹光路９５巷２１弄1～30號,43.414,它43.414,,,10411,土地2建物1車位2,A八層=99.66,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,229.689,4房,2廳,2衛,有隔間,有管理組織,14250000,205092,坡道平面,0,0,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
車位總價中無法拆分個別車位價,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,竹光路９５巷２１弄1～30號,43.895,它43.894,,,10411,土地2建物1車位2,A九層=99.66,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,231.801,4房,2廳,2衛,有隔間,有管理組織,14100000,201084,坡道平面,0,0,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
車位總價中無法拆分個別車位價,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,竹光路９５巷２１弄1～30號,35.719,它35.719,,,10411,土地2建物1車位1,A二層=85.70,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,174.51,3房,2廳,2衛,有隔間,有管理組織,11260000,213301,坡道平面,0,1300000,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
北區,地+建+車,竹光路９５巷２１弄1～30號,35.238,它35.238,,,10411,土地2建物1車位1,A九層=85.70,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,172.41,3房,2廳,2衛,有隔間,有管理組織,11500000,220501,坡道平面,0,1250000,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
北區,地+建+車,竹光路９５巷２１弄1～30號,36.877,它36.877,,,10411,土地2建物1車位1,A十層=85.70,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,185.903,3房,2廳,2衛,有隔間,有管理組織,12000000,213388,坡道平面,0,1800000,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
北區,地+建+車,竹光路９５巷２１弄1～30號,40.637,它40.637,,,10411,土地2建物1車位1,A十層=99.66,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10402,203.659,4房,2廳,2衛,有隔間,有管理組織,13500000,219132,坡道平面,0,1600000,土地及建物分次登記案件。前案土地登記收件字號：281850、281860號
北區,土地,成德段271～300地號,10.49,住10.49,,,10412,土地2,,,土地,,,,0,,,,有隔間,無管理組織,531003,167339,,0,0,無
北區,土地,成德段271～300地號,75.03,住75.03,,,10412,土地2,,,土地,,,,0,,,,有隔間,無管理組織,3798018,167339,,0,0,無
東區,土地,光復段451～480地號,28,工28,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,4658500,550000,,0,0,無
,土地,新港段241～270地號,10.91,住10.91,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,396000,119990,,0,0,無
,土地,新港段241～270地號,14.98,住14.98,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,543600,119962,,0,0,無
香山區,地+建,至善街３１巷1～30號,14.698,,山坡地保育區,丙建14.698,10412,土地2建物1,A四層=23.50,4層,套房,住家用，共同使用部份,鋼筋混凝土造,8703,32.786,1房,,1衛,有隔間,有管理組織,580000,58481,,0,0,無
香山區,土地,香雅段781～810地號,43.263,,鄉村區,乙建43.263,10412,土地3,,,土地,,,,0,,,,有隔間,無管理組織,1680000,128372,,0,0,無
,土地,新港段241～270地號,9.49,住9.49,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,344400,119970,,0,0,無
北區,地+建,東大路四段２３７巷1～30號,73.711,住70.932,,,10411,土地3建物1,A一層=44.61，二層=45.25，三層=43.30，四層=40.26,4層,透天厝,見其他登記事項,鋼筋混凝土造,10405,175.53,4房,3廳,4衛,有隔間,無管理組織,8500000,160082,,0,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A八層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,12910000,278865,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A九層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,13750000,295582,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A十層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,13760000,299459,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A十一層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,14850000,322233,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A十二層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.814,3房,2廳,2衛,有隔間,有管理組織,12700000,281047,坡道平面,36.37,0,無
北區,地+建+車,北門里北門街181～210號,16.019,商16.019,,,10412,土地1建物1車位1,A二層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,158.052,3房,2廳,2衛,有隔間,有管理組織,12500000,273298,坡道機械,16.53,0,無
北區,地+建+車,北門里北門街181～210號,16.019,商16.019,,,10412,土地1建物1車位1,A五層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,153.046,3房,2廳,2衛,有隔間,有管理組織,11550000,262736,坡道機械,16.53,0,無
